name,path,row,lat,lon,lat_UL,lon_UL,lat_UR,lon_UR,lat_LL,lon_LL,lat_LR,lon_LR
16_122,16.000000,122.000000,-81.844418,176.043772,-80.929000,-178.785000,-82.680000,-177.567000,-80.929000,170.873000,-82.680000,169.654000
15_122,15.000000,122.000000,-81.844418,177.588836,-80.929000,-177.240000,-82.680000,-176.021000,-80.929000,172.418000,-82.680000,171.199000
14_122,14.000000,122.000000,-81.844418,179.133901,-80.929000,-175.695000,-82.680000,-174.476000,-80.929000,173.963000,-82.680000,172.744000
13_122,13.000000,122.000000,-81.844418,-179.321040,-80.929000,-174.150000,-82.680000,-172.931000,-80.929000,175.508000,-82.680000,174.289000
12_122,12.000000,122.000000,-81.844418,-177.775970,-80.929000,-172.605000,-82.680000,-171.386000,-80.929000,177.053000,-82.680000,175.834000
11_122,11.000000,122.000000,-81.844418,-176.230910,-80.929000,-171.060000,-82.680000,-169.841000,-80.929000,178.598000,-82.680000,177.379000
10_122,10.000000,122.000000,-81.844418,-174.685840,-80.929000,-169.515000,-82.680000,-168.296000,-80.929000,-179.857000,-82.680000,178.924000
9_122,9.000000,122.000000,-81.844418,-173.140780,-80.929000,-167.970000,-82.680000,-166.751000,-80.929000,-178.312000,-82.680000,-179.530000
8_122,8.000000,122.000000,-81.844418,-171.595710,-80.929000,-166.424000,-82.680000,-165.206000,-80.929000,-176.767000,-82.680000,-177.985000
7_122,7.000000,122.000000,-81.844418,-170.050650,-80.929000,-164.879000,-82.680000,-163.661000,-80.929000,-175.222000,-82.680000,-176.440000
6_122,6.000000,122.000000,-81.844418,-168.505580,-80.929000,-163.334000,-82.680000,-162.116000,-80.929000,-173.677000,-82.680000,-174.895000
5_122,5.000000,122.000000,-81.844418,-166.960520,-80.929000,-161.789000,-82.680000,-160.571000,-80.929000,-172.132000,-82.680000,-173.350000
4_122,4.000000,122.000000,-81.844418,-165.415460,-80.929000,-160.244000,-82.680000,-159.026000,-80.929000,-170.587000,-82.680000,-171.805000
3_122,3.000000,122.000000,-81.844418,-163.870390,-80.929000,-158.699000,-82.680000,-157.481000,-80.929000,-169.042000,-82.680000,-170.260000
2_122,2.000000,122.000000,-81.844418,-162.325330,-80.929000,-157.154000,-82.680000,-155.936000,-80.929000,-167.497000,-82.680000,-168.715000
1_122,1.000000,122.000000,-81.844418,-160.780260,-80.929000,-155.609000,-82.680000,-154.391000,-80.929000,-165.952000,-82.680000,-167.170000
233_122,233.000000,122.000000,-81.844418,-159.235200,-80.929000,-154.064000,-82.680000,-152.845000,-80.929000,-164.406000,-82.680000,-165.625000
232_122,232.000000,122.000000,-81.844418,-157.690130,-80.929000,-152.519000,-82.680000,-151.300000,-80.929000,-162.861000,-82.680000,-164.080000
231_122,231.000000,122.000000,-81.844418,-156.145070,-80.929000,-150.974000,-82.680000,-149.755000,-80.929000,-161.316000,-82.680000,-162.535000
230_122,230.000000,122.000000,-81.844418,-154.600010,-80.929000,-149.429000,-82.680000,-148.210000,-80.929000,-159.771000,-82.680000,-160.990000
229_122,229.000000,122.000000,-81.844418,-153.054940,-80.929000,-147.884000,-82.680000,-146.665000,-80.929000,-158.226000,-82.680000,-159.445000
228_122,228.000000,122.000000,-81.844418,-151.509880,-80.929000,-146.339000,-82.680000,-145.120000,-80.929000,-156.681000,-82.680000,-157.900000
227_122,227.000000,122.000000,-81.844418,-149.964810,-80.929000,-144.794000,-82.680000,-143.575000,-80.929000,-155.136000,-82.680000,-156.355000
226_122,226.000000,122.000000,-81.844418,-148.419750,-80.929000,-143.248000,-82.680000,-142.030000,-80.929000,-153.591000,-82.680000,-154.809000
225_122,225.000000,122.000000,-81.844418,-146.874680,-80.929000,-141.703000,-82.680000,-140.485000,-80.929000,-152.046000,-82.680000,-153.264000
224_122,224.000000,122.000000,-81.844418,-145.329620,-80.929000,-140.158000,-82.680000,-138.940000,-80.929000,-150.501000,-82.680000,-151.719000
223_122,223.000000,122.000000,-81.844418,-143.784550,-80.929000,-138.613000,-82.680000,-137.395000,-80.929000,-148.956000,-82.680000,-150.174000
